VNUM	NAME	RANK	TYPE	BATTLE_TYPE	LEVEL	SIZE	AI_FLAG	MOUNT_CAPACITY	RACE_FLAG	IMMUNE_FLAG	EMPIRE	FOLDER	ON_CLICK	ST	DX	HT	IQ	DAMAGE_MIN	DAMAGE_MAX	MAX_HP	REGEN_CYCLE	REGEN_PERCENT	GOLD_MIN	GOLD_MAX	EXP	DEF	ATTACK_SPEED	MOVE_SPEED	AGGRESSIVE_HP_PCT	AGGRESSIVE_SIGHT	ATTACK_RANGE	DROP_ITEM	RESURRECTION_VNUM	ENCHANT_CURSE	ENCHANT_SLOW	ENCHANT_POISON	ENCHANT_STUN	ENCHANT_CRITICAL	ENCHANT_PENETRATE	RESIST_SWORD	RESIST_TWOHAND	RESIST_DAGGER	RESIST_BELL	RESIST_FAN	RESIST_BOW	RESIST_FIRE	RESIST_ELECT	RESIST_MAGIC	RESIST_WIND	RESIST_POISON	DAM_MULTIPLY	SUMMON	DRAIN_SP	MOB_COLOR	POLYMORPH_ITEM	SKILL_LEVEL0	SKILL_VNUM0	SKILL_LEVEL1	SKILL_VNUM1	SKILL_LEVEL2	SKILL_VNUM2	SKILL_LEVEL3	SKILL_VNUM3	SKILL_LEVEL4	SKILL_VNUM4	SP_BERSERK	SP_STONESKIN	SP_GODSPEED	SP_DEATHBLOW	SP_REVIVE
111	회색곰	S_PAWN	MONSTER	TANKER	15			0	ANIMAL		0	bear	0	14	17	34	6	44	53	599	3	2	76	114	220	19	110	100	40	2000	150	30071	0	0	0	0	0	0	0	0	-5	0	0	0	0	0	0	0	0	0	1.26	0	0	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112	검은곰	PAWN	MONSTER	POWER	19			0	ANIMAL		0	bear	0	36	14	21	7	50	62	653	3	2	61	92	539	24	110	100	40	2000	150	30053	0	0	0	0	0	0	0	0	-5	0	0	0	0	0	0	0	0	0	0.9	0	0	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113	불곰	S_PAWN	MONSTER	POWER	21			0	ANIMAL		0	bear	0	35	15	23	8	54	66	886	5	7	100	150	714	26	110	100	40	2000	150	30072	0	0	0	0	0	0	0	0	-5	0	0	0	0	0	0	0	0	0	1.26	0	0	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
114	호랑이	PAWN	MONSTER	POWER	18			0	ANIMAL		0	tiger	0	18	20	27	7	49	60	613	3	7	59	88	511	22	110	100	50	2000	150	30038	0	0	0	0	0	0	0	0	-5	0	0	0	0	0	0	0	0	0	0.9	0	0	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
115	대호	S_PAWN	MONSTER	POWER	24		AGGR	0	ANIMAL		0	tiger	0	25	17	45	9	59	72	1055	10	17	112	168	815	29	110	130	50	2000	150	30023	0	0	0	0	0	0	0	0	-5	0	0	0	0	0	0	0	0	0	1.26	0	0	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
131	저주받은 늑대	KNIGHT	MONSTER	MELEE	30		AGGR	0	ANIMAL	CURSE	0	wolf	0	30	20	45	10	65	110	1452	3	2	184	276	490	12	110	120	100	2000	150	30028	0	10	0	0	0	0	0	-10	-25	5	-20	-20	20	0	0	-30	0	0	1.62	0	0	16764159	70106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
132	저주받은 두목늑대	S_KNIGHT	MONSTER	MELEE	31		AGGR	0	ANIMAL	CURSE	0	wolf	0	30	20	41	10	57	105	2371	3	2	239	358	1008	13	110	120	100	2000	150	30069	0	10	0	0	0	0	0	-5	-5	10	10	10	20	0	0	-30	0	0	1.6	0	0	16764159	70107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
133	저주받은 푸른늑대	KNIGHT	MONSTER	MELEE	32		AGGR	0	ANIMAL	CURSE	0	wolf	0	32	22	43	11	65	110	1585	3	2	195	292	518	15	110	120	100	2000	150	0	0	10	0	0	0	0	0	-5	-25	0	0	0	20	0	0	-30	0	0	1.62	0	0	16764159	70106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134	저주받은 푸른 두목늑대	S_KNIGHT	MONSTER	MELEE	34		AGGR	0	ANIMAL	CURSE	0	wolf	0	32	22	43	11	57	105	2697	3	2	260	391	1092	18	110	120	100	2000	150	30027	0	10	0	0	0	0	0	0	-5	-25	0	0	20	0	0	-30	0	0	1.6	0	0	16764159	70107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
135	저주받은 회색늑대	KNIGHT	MONSTER	MELEE	36		AGGR	0	ANIMAL	CURSE	0	wolf	0	23	45	34	11	59	110	1873	3	2	217	326	574	22	110	120	100	2000	150	30070	0	10	0	0	0	0	0	-5	-25	0	0	0	20	0	0	-30	0	0	1.62	0	0	16764159	70106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
136	저주받은 회색 두목늑대	S_KNIGHT	MONSTER	MELEE	21		AGGR	0	ANIMAL	CURSE	0	wolf	0	33	17	17	8	42	78	1845	5	7	167	250	816	26	110	120	100	2000	150	0	0	10	0	0	0	0	0	0	-5	-25	0	0	20	0	0	-30	0	0	1.9	0	0	16764159	70107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
137	저주받은 멧돼지	KNIGHT	MONSTER	MELEE	12		AGGR	0	ANIMAL	CURSE	0	wild_boar	0	35	17	26	9	30	56	639	3	2	83	124	235	16	110	120	100	2000	150	30004	0	10	0	0	0	0	0	-10	-25	5	-20	-20	20	0	0	-30	0	0	1.71	0	0	16764159	70106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
138	저주받은 붉은 멧돼지	S_KNIGHT	MONSTER	MELEE	37		AGGR	0	ANIMAL	CURSE	0	wild_boar	0	38	50	25	13	59	110	3045	3	2	282	423	1176	19	110	120	100	2000	150	30003	0	10	0	0	0	0	0	-5	-5	10	10	10	20	0	0	-30	0	0	1.6	0	0	16764159	70107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
139	저주받은 곰	KNIGHT	MONSTER	MELEE	38		AGGR	0	ANIMAL	CURSE	0	bear	0	26	39	51	13	78	95	2026	3	2	228	343	602	21	110	120	100	2000	150	30010	0	10	0	0	0	0	0	-5	-25	0	0	0	20	0	0	-30	0	0	1.62	0	0	16764159	70106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
140	저주받은 회색곰	S_KNIGHT	MONSTER	TANKER	39		AGGR	0	ANIMAL	CURSE	0	bear	0	42	56	28	14	63	117	3290	3	2	296	445	1232	25	110	120	100	2000	150	30071	0	10	0	0	0	0	0	0	-5	-25	0	0	20	0	0	-30	0	0	1.6	0	0	16764159	70107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
141	저주받은 검은곰	KNIGHT	MONSTER	TANKER	40		AGGR	0	ANIMAL	CURSE	0	bear	0	43	57	15	14	66	122	2187	3	2	240	360	630	29	110	120	100	2000	150	30053	0	10	0	0	0	0	0	-5	-25	0	0	0	20	0	0	-30	0	0	1.62	0	0	16764159	70106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
142	저주받은 불곰	S_KNIGHT	MONSTER	TANKER	26		AGGR	0	ANIMAL	CURSE	0	bear	0	37	19	28	9	62	76	2453	5	7	203	304	1008	31	110	120	100	2000	150	30072	0	10	0	0	0	0	0	0	-5	-25	0	0	20	0	0	-30	0	0	1.9	0	0	16764159	70107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
143	저주받은 호랑이	KNIGHT	MONSTER	POWER	41		AGGR	0	ANIMAL	CURSE	0	tiger	0	59	29	44	15	66	122	2270	3	7	245	368	644	29	110	120	100	2000	150	30038	0	10	0	0	0	0	0	5	-15	0	-10	-10	20	0	0	-30	0	0	1.62	0	0	16764159	70106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
144	저주받은 대호	S_KNIGHT	MONSTER	POWER	29		AGGR	0	ANIMAL	CURSE	0	tiger	0	39	30	20	10	53	98	2813	10	17	224	337	1123	34	110	120	100	2000	150	30023	0	10	0	0	0	0	0	5	-15	0	-10	-10	20	0	0	-30	0	0	1.9	0	0	16764159	70107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
151	푸른 두목늑대 청목	S_KNIGHT	MONSTER	MELEE	9			0	ANIMAL		0	wolf	0	14	8	16	4	33	41	450	3	5	50	100	100	15	80	100	25	2000	175	0	0	0	0	0	0	20	20	0	0	0	0	0	0	0	0	0	0	0	2	0	0	13434828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
152	회색 두목늑대 무랑	S_KNIGHT	MONSTER	MELEE	16			0	ANIMAL		0	wolf	0	23	24	12	6	45	55	800	5	10	100	150	200	25	80	130	25	2000	175	0	0	0	0	0	0	20	20	0	0	0	0	0	0	0	0	0	0	0	2	0	0	13434828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
153	붉은 멧돼지 적혈	S_KNIGHT	MONSTER	MELEE	10			0	ANIMAL		0	wild_boar	0	22	9	13	4	35	43	600	3	5	60	140	120	15	80	100	30	2000	175	0	0	0	0	0	0	20	20	0	0	0	0	0	0	0	0	0	0	0	2	0	0	13434828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
154	불곰 영지	S_KNIGHT	MONSTER	POWER	21			0	ANIMAL		0	bear	0	35	15	23	8	54	66	1000	5	10	150	200	220	26	100	100	40	2000	175	0	0	0	0	0	0	20	20	0	0	0	0	0	0	0	0	0	0	0	2	0	0	13434828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
155	대호 일안	S_KNIGHT	MONSTER	POWER	24		AGGR	0	ANIMAL		0	tiger	0	25	17	45	9	59	72	1200	10	20	150	220	250	29	100	130	50	2000	175	0	0	0	0	0	0	20	20	0	0	0	0	0	0	0	0	0	0	0	2	0	0	13434828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
171	굶주린 들개	PAWN	MONSTER	MELEE	1			0	ANIMAL		0	stray_dog	0	3	6	5	2	24	29	106	3	2	18	27	11	4	110	100	0	2000	150	0	0	0	0	0	0	0	0	0	-5	0	0	0	0	0	0	0	0	0	0.9	0	0	16764108	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
172	굶주린 늑대	PAWN	MONSTER	MELEE	3			0	ANIMAL		0	wolf	0	4	9	7	2	28	34	136	3	2	23	34	27	6	110	100	25	2000	150	30028	0	0	0	0	0	0	0	0	-5	0	0	0	0	0	0	0	0	1	0.9	0	0	16764108	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
173	굶주린 두목늑대	PAWN	MONSTER	MELEE	4			0	ANIMAL		0	wolf	0	8	5	10	3	30	36	152	3	2	25	38	36	7	110	130	25	2000	150	30069	0	0	0	0	0	0	0	0	-5	0	0	0	0	0	0	0	0	2	0.9	0	0	16764108	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
174	굶주린 푸른늑대	PAWN	MONSTER	MELEE	6			0	ANIMAL		0	wolf	0	9	12	6	3	30	46	188	3	2	30	45	53	9	110	100	25	2000	150	0	0	0	0	0	0	0	0	0	-5	0	0	0	0	0	0	0	0	3	0.9	0	0	16764108	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
175	굶주린 푸른 두목늑대	PAWN	MONSTER	MELEE	9			0	ANIMAL		0	wolf	0	14	8	16	4	40	49	249	3	2	37	56	78	13	90	100	25	2000	150	30027	0	0	0	0	0	0	0	0	-5	0	0	0	0	0	0	0	0	4	0.9	0	0	16764108	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
176	굶주린 회색늑대	PAWN	MONSTER	MELEE	13			0	ANIMAL		0	wolf	0	21	21	10	5	48	59	345	3	2	47	70	111	17	110	100	25	2000	150	30070	0	0	0	0	0	0	0	0	-5	0	0	0	0	0	0	0	0	5	0.9	0	0	16764108	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
177	굶주린 회색 두목늑대	S_PAWN	MONSTER	MELEE	16			0	ANIMAL		0	wolf	0	23	24	12	6	54	66	514	5	7	80	120	164	20	90	130	25	2000	150	0	0	0	0	0	0	5	0	0	-5	0	0	0	0	0	0	0	0	6	1.26	0	0	16764108	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
178	굶주린 멧돼지	PAWN	MONSTER	MELEE	7			0	ANIMAL		0	wild_boar	0	14	7	10	3	36	44	208	3	2	32	49	61	11	90	100	30	2000	150	30004	0	0	0	0	0	5	0	0	-5	0	0	0	0	0	0	0	0	7	0.9	0	0	16764108	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
179	굶주린 붉은 멧돼지	S_PAWN	MONSTER	MELEE	10			0	ANIMAL		0	wild_boar	0	22	9	13	4	42	52	326	3	2	56	84	103	14	90	100	30	2000	150	30003	0	0	0	0	0	5	0	0	-5	0	0	0	0	0	0	0	0	8	1.26	0	0	16764108	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
180	굶주린 곰	PAWN	MONSTER	POWER	12			0	ANIMAL		0	bear	0	20	10	20	5	47	56	319	3	2	44	67	103	16	110	70	40	2000	150	30010	0	0	0	0	0	0	0	0	-5	0	0	0	0	0	0	0	0	9	0.9	0	0	16764108	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
181	굶주린 회색곰	S_PAWN	MONSTER	TANKER	15			0	ANIMAL		0	bear	0	14	17	34	6	53	64	479	3	2	76	114	154	19	110	100	40	2000	150	30071	0	0	0	0	0	0	0	0	-5	0	0	0	0	0	0	0	0	10	1.26	0	0	16764108	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
182	굶주린 검은곰	PAWN	MONSTER	POWER	19			0	ANIMAL		0	bear	0	36	14	21	7	60	74	523	3	2	61	92	377	24	110	100	40	2000	150	30053	0	0	0	0	0	0	0	0	-5	0	0	0	0	0	0	0	0	11	0.9	0	0	16764108	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
183	굶주린 불곰	S_PAWN	MONSTER	POWER	21			0	ANIMAL		0	bear	0	35	15	23	8	65	79	709	5	7	100	150	500	26	110	100	40	2000	150	30072	0	0	0	0	0	0	0	0	-5	0	0	0	0	0	0	0	0	12	1.26	0	0	16764108	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
184	굶주린 호랑이	PAWN	MONSTER	POWER	18			0	ANIMAL		0	tiger	0	18	20	27	7	59	72	490	3	7	59	88	358	22	110	100	50	2000	150	30038	0	0	0	0	0	0	0	0	-5	0	0	0	0	0	0	0	0	13	0.9	0	0	16764108	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
185	굶주린 대호	S_PAWN	MONSTER	POWER	24		AGGR	0	ANIMAL		0	tiger	0	25	17	45	9	71	86	844	10	17	112	168	570	29	110	130	50	2000	150	30023	0	0	0	0	0	0	0	0	-5	0	0	0	0	0	0	0	0	14	1.26	0	0	16764108	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
191	산견신	S_KNIGHT	MONSTER	MELEE	30			0	ANIMAL	STUN,SLOW,CURSE,TERROR	0	mountain_dog_god	0	39	20	30	10	52	96	2940	5	7	232	348	3388	35	110	140	100	2000	150	0	0	0	0	0	3	5	20	0	-5	0	0	0	0	0	0	0	0	0	1.8	0	0	0	70107	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0
192	저신	S_KNIGHT	MONSTER	MELEE	31			0	ANIMAL	STUN,SLOW,CURSE,TERROR	0	wild_boar_god	0	30	20	41	10	68	84	3069	15	11	239	358	3500	37	110	140	100	2000	150	0	0	0	0	0	3	5	20	0	-5	0	0	0	0	0	0	0	0	0	1.8	0	0	0	70107	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0
193	웅신	S_KNIGHT	MONSTER	TANKER	33			0	ANIMAL	STUN,SLOW,CURSE,TERROR	0	bear	0	32	22	43	11	72	88	3385	20	17	253	380	3724	39	110	140	100	2000	150	0	0	0	0	0	3	5	20	0	-5	0	0	0	0	0	0	0	0	0	1.8	0	0	0	70107	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0
194	호신	S_KNIGHT	MONSTER	POWER	35			0	ANIMAL	STUN,SLOW,CURSE,TERROR	0	tiger	0	23	45	34	11	67	100	3616	25	21	268	402	3948	41	110	140	100	2000	150	0	0	0	0	0	3	5	20	0	-5	0	0	0	0	0	0	0	0	0	1.8	0	0	0	70107	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0
301	백결단원	S_PAWN	MONSTER	MAGIC	18			0	HUMAN	SLOW	0	bksoldier	0	27	20	13	7	49	60	735	3	2	96	145	613	22	110	120	35	2000	150	30034	0	0	0	0	0	0	0	0	-5	0	0	0	0	0	0	0	30	0	1.26	0	0	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
302	백결궁병	S_PAWN	MONSTER	MAGIC	20			0	HUMAN	SLOW	0	bkarcher	0	22	29	15	7	46	70	455	3	2	105	158	680	25	70	130	35	2000	650	30031	0	0	0	0	0	1	0	0	-5	0	0	0	0	0	0	0	30	0	1.26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
303	백결장수 일령	KNIGHT	MONSTER	MAGIC	25			0	HUMAN	SLOW	0	bkknight	0	35	26	18	9	47	88	1487	5	7	171	257	1414	30	110	120	35	2000	150	30011	0	0	0	0	0	0	0	0	-5	0	0	0	0	0	0	0	30	0	1.62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
304	백결장수 이령	KNIGHT	MONSTER	MAGIC	25			0	HUMAN	SLOW	0	bkknight	0	35	26	18	9	61	74	1487	5	7	171	257	1414	30	110	120	35	2000	150	30073	0	0	0	0	0	0	0	0	-5	0	0	0	0	0	0	0	30	0	1.62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
331	백결단원 은주	S_PAWN	MONSTER	MELEE	18		AGGR	0	HUMAN	SLOW	0	bksoldier	0	27	20	13	7	56	69	1450	10	7	300	450	1302	22	110	120	35	2000	150	30034	0	0	0	0	0	10	10	0	-5	0	0	0	0	0	0	0	30	0	2	0	0	13434828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
332	백결궁병 지영	S_PAWN	MONSTER	RANGE	20		AGGR	0	HUMAN	SLOW	0	bkarcher	0	22	29	15	7	53	80	1622	10	7	324	486	1414	25	70	130	35	2000	650	30031	0	0	0	0	0	10	10	0	-5	0	0	0	0	0	0	0	30	0	2	0	0	13434828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
333	백결장수 지연	KNIGHT	MONSTER	MELEE	25		AGGR	0	HUMAN	SLOW	0	bkknight	0	35	26	18	9	53	99	3207	5	7	384	576	3388	30	110	120	35	2000	150	30011	0	0	0	0	0	10	10	0	-5	0	0	0	0	0	0	0	30	0	2	0	0	13434828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
334	백결장수 인자	KNIGHT	MONSTER	MELEE	25		AGGR	0	HUMAN	SLOW	0	bkknight	0	35	26	18	9	53	99	3207	5	7	384	576	3388	30	110	120	35	2000	150	30073	0	0	0	0	0	10	10	0	-5	0	0	0	0	0	0	0	30	0	2	0	0	13434828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
351	소심한 백결단원	S_PAWN	MONSTER	MAGIC	18			0	HUMAN	SLOW	0	bksoldier	0	27	20	13	7	59	72	588	3	2	96	145	429	22	110	120	35	2000	150	30034	0	0	0	0	0	0	0	0	-5	0	0	0	0	0	0	0	30	0	1.26	0	0	16764108	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
352	소심한 백결궁병	S_PAWN	MONSTER	MAGIC	20			0	HUMAN	SLOW	0	bkarcher	0	22	29	15	7	55	84	364	3	2	105	158	476	25	70	130	35	2000	650	30031	0	0	0	0	0	1	0	0	-5	0	0	0	0	0	0	0	30	0	1.26	0	0	16764108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
353	소심한 백결장수 일령	KNIGHT	MONSTER	MAGIC	25			0	HUMAN	SLOW	0	bkknight	0	35	26	18	9	56	106	1190	5	7	171	257	990	30	110	120	35	2000	150	30011	0	0	0	0	0	0	0	0	-5	0	0	0	0	0	0	0	30	0	1.62	0	0	16764108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
354	소심한 백결장수 이령	KNIGHT	MONSTER	MAGIC	25			0	HUMAN	SLOW	0	bkknight	0	35	26	18	9	73	89	1190	5	7	171	257	990	30	110	120	35	2000	150	30073	0	0	0	0	0	0	0	0	-5	0	0	0	0	0	0	0	30	0	1.62	0	0	16764108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
391	미정	S_KNIGHT	MONSTER	MAGIC	23			0	HUMAN	SLOW	0	bksecond	0	32	16	24	8	44	82	2076	10	11	199	299	2604	28	110	150	100	2000	150	30018	0	0	0	0	0	1	1	0	-5	0	0	0	0	0	0	0	30	0	1.8	0	0	0	70107	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0
392	은정	S_KNIGHT	MONSTER	MAGIC	26			0	HUMAN	SLOW	0	bkthird	0	36	18	27	9	48	89	2453	15	17	223	335	2940	31	110	150	100	2000	150	30017	0	0	0	0	0	1	1	0	-5	0	0	0	0	0	0	0	30	0	1.8	0	0	0	70107	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0
393	세랑	S_KNIGHT	MONSTER	MAGIC	28			0	HUMAN	SLOW	0	bkfourth	0	38	19	29	10	51	94	2692	20	22	239	359	3164	33	110	150	100	2000	150	30035	0	0	0	0	0	1	1	0	-5	0	0	0	0	0	0	0	30	0	1.8	0	0	0	70107	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0
394	진희	S_KNIGHT	MONSTER	MAGIC	31			0	HUMAN	SLOW	0	bkboss	0	42	21	31	10	55	101	3069	20	27	263	394	3500	37	110	150	100	2000	150	30073	0	0	0	0	0	1	1	0	-5	0	0	0	0	0	0	0	30	0	1.8	0	0	0	70107	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0
395	소심한 미정	S_KNIGHT	MONSTER	MAGIC	23			0	HUMAN	SLOW	0	bksecond	0	32	16	24	8	53	98	1661	10	11	199	299	1823	28	110	150	100	2000	150	30018	0	0	0	0	0	1	1	0	-5	0	0	0	0	0	0	0	30	0	2	0	0	0	70107	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0
396	소심한 은정	S_KNIGHT	MONSTER	MAGIC	26			0	HUMAN	SLOW	0	bkthird	0	36	18	27	9	58	107	1962	15	17	223	335	2058	31	110	150	100	2000	150	30017	0	0	0	0	0	1	1	0	-5	0	0	0	0	0	0	0	30	0	2	0	0	0	70107	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0
397	소심한 세랑	S_KNIGHT	MONSTER	MAGIC	28			0	HUMAN	SLOW	0	bkfourth	0	38	19	29	10	61	113	2154	20	22	239	359	2215	33	110	150	100	2000	150	30035	0	0	0	0	0	1	1	0	-5	0	0	0	0	0	0	0	30	0	2	0	0	0	70107	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0
