VNUM	LOCALE_NAME
5133	Zeki Küçük MaymunSavaþçý
5134	Zeki Küçük Maymun Genera
5141	Zeki Maymun Asker
5142	Zeki Maymun Atýcý
5143	Zeki Maymun Savaþçý
5144	Zeki Maymun General
5145	Zeki Taþ Maymun
5146	Zeki Maymun Lider
5151	Kötü Güçlü Maymun Asker
5152	Kötü Güçlü Maymun Atýcý
5153	Kötü Güçlü MaymunSavaþçý
5154	Kötü Güçlü Maymun Genera
5155	Kötü Güçlü Taþ Maymun
5156	Kötü Güçlü Altýn Maymun
5157	Kötü Güçlü Maymun Lider
5161	Kaya Maymun
5162	Yürüyen Maymun
5163	Maymun Lordu
6001	Kor Alev Hayaleti
6002	Kor Alev Kaplaný
6003	Kor Alev
6004	Kor Alev Savaþçýsý
6005	Kor Alev Kralý
6006	Kor Ateþ Golemi
6007	Kor Alev Sakallýsý
6008	Kor Alev Generali
6009	Kor Alev Lordu
6051	Ýgnatör
6091	Razadör
6101	Ayaz Kristali
6102	Ayaz Böceði
6103	Ayaz Adam
6104	Ayaz Yetisi
6105	Ayaz Golemi
6106	Ayaz Trolü
6107	Ayaz Sakal
6108	Ayaz Generali
6109	Ayaz Lordu
6151	Szel
6191	Nemere
7001	Maymun Asker
7002	Maymun Binici
7003	Gimu Maymun Asker
7004	Maymun Komutan
7005	Taþ Maymun
7006	Altýn Maymun
7007	Maymun General
7008	Tu-Gui Ýþçi
7009	Tu-Gui Asker Müfettiþ
7010	Tu-Gui Beyaz Komutan
7012	Bi-Ma-Gui-An
7013	Akrep Kral
7014	Zeki Akrep Adam
7015	Akrep Okçu
7016	Yýlan Kýlýççý
7017	Yýlan Okçu
7018	Çöl Haydutu
7019	Tu-Ji Asker
7020	Hwa-ryung
7021	Tu-Ji Serseri
7022	Cham-Ma
7023	Teawha-Mu
7024	Juk-gui
7025	Dung-Juk
7026	Juk-Mok
7027	Hwaryu Juk
7028	Siyah Juk-Guimok
7029	Buz Þeytaný
7030	Buz Boynuzlu Katil Balin
7031	Buz Böceði
7032	Seol-Gu
7033	Buz Adam
7034	Buz Devi
7035	Buz Golemi
7036	Buz Þeytaný
7037	Buz Boynuzlu Katil Balin
7038	Buz Böceði
7039	Seol-Gu
7040	Buz Adam
7041	Buz Devi
7042	Buz Golemi
7043	Buz Þeytaný
7044	Buz Boynuzlu Katil Balin
7045	Buz Böceði
7046	Seol-Gu
7047	Buz Adam
7048	Buz Devi
7049	Buz Golemi
7050	Çölün Uçan Gözü
7051	Kral Akrep
7052	Genç Akrep Adam
7053	Akrep Okçu
7054	Yýlan Kýlýççý
7055	Yýlan Okçu
7056	Çöl Haydutu
7057	Çölün Uçan Gözü
7058	Kral Akrep
7059	Genç Akrep Adam
7060	Akrep Okçu
7061	Yýlan Kýlýççý
7062	Yýlan Okçu
7063	Çöl Haydutu
7064	Çölün Uçan Gözü
7065	Kral Akrep
7066	Genç Akrep Adam
7067	Akrep Okçu
7068	Yýlan Kýlýççý
7069	Yýlan Okçu
7070	Çöl Haydutu
7071	Savaþ Kaplaný Kölesi
7072	Alev Hayaleti
7073	Savaþ Kaplaný
7074	Alev
7075	Alev Savaþçý
7076	Savaþ Kaplaný Kölesi
7077	Alev Hayaleti
7078	Savaþ Kaplaný
7079	Alev
7080	Alev Savaþçý
7081	Savaþ Kaplaný Kölesi
7082	Alev Hayaleti
7083	Savaþ Kaplaný
7084	Alev
7085	Alev Savaþçý
7086	Hayalet Aðaç Kökü
7087	Orman Perisi
7088	Hayalet Söðüt
7089	Kötü Aðaç
7090	Hayalet Aðaç Kökü
7091	Orman Perisi
7092	Hayalet Söðüt
7093	Kötü Aðaç
7094	Hayalet Aðaç Kökü
7095	Orman Perisi
7096	Hayalet Söðüt
8001	Üzüntü Metini
8002	Dövüþ Metini
8003	Savaþ Metini
8004	Hýrs Metini
8005	Siyah Metin
8006	Karanlýk Metin
8007	Kýskançlýk Metini
8008	Ruh Metini
8009	Gölge Metini
8010	Dayanýklýlýk Metini
8011	Þeytan Metini
8012	Lanet Metini
8013	Ölüm Metini
8014	Katil Metini
8015	Dayanýklýlýk Metini
8016	Þeytan Metini
8017	Lanet Metini
8018	Ölüm Metini
8019	Katil Metini
8020	Shinsoo Kayasý
8021	Jinno Kayasý
8022	Chunjo Kayasý
8023	Ýmparatorluk Kayasý
8024	Metin Pung-Ma
8025	Metin Ma-An
8026	Metin Tu-Young
8027	Metin Jeon-Un
8028	Metin Whistle
8029	Metin MMOTutkunlari
8030	Metin Whistle
8031	Dað Metini
8032	Ýntikam Metini
8033	Kimsesizlik Metini
8034	Kibir Metini
8035	Kurtuluþun Metin'i
8036	Hainliðin Metin'i
8037	Mutsuzluðun Metin'i
8038	Misilleme Metin'i
8039	Gurur Metini
8040	Hasetin Metin'i
8041	Paskalya Metini
8042	Paskalya Metini
8043	Paskalya Metini
8044	Paskalya Metini
8045	Paskalya Metini
8046	Paskalya Metini
8047	Paskalya Metini
8048	Paskalya Metini
8049	Paskalya Metini
8050	Paskalya Metini
8051	Iþýksýzlýk Metini
8052	Korluðun Metini
8053	Maðrurluðun Metini
8054	Öfkenin Metini
8055	Felaketin Metini
8056	Namertlik Metini
8057	Cehennem Ateþi Metini
8058	Ayaz Metini
8101	Üzüntü Metini
8102	Dövüþ Metini
8103	Savaþ Metini
8104	Hýrs Metini
8105	Siyah Metin
8106	Karanlýk Metin
8107	Kýskançlýk Metini
8108	Ruh Metini
8109	Gölge Metini
8110	Dayanýklýlýk Metini
8111	Þeytan Metini
8112	Düþüþ Metini
8113	Ölüm Metini
8114	Katil Metini
8501	Yabani Köpek
8502	Yaban Domuzu
8503	Ayý
8504	Beyaz Kaplan
8505	Siyah Dev Ork
8506	Aðaç Kurbaðasý Lideri
8507	Çöl Haydutu
8508	Mistik Ýþkenceci
8509	Mistik Haberci
8510	Alev Savaþçý
8511	Buz Golemi
8600	¿õ±Í´ëÁ·Àå
8601	¿õ±Í´ëÁ·Àå
8602	¹Ð±³´ëÁÖ±³
8603	¹Ð±³´ëÁÖ±³
8604	¸í»ç±Í¿Õ
8605	¸í»ç±Í¿Õ
8606	»ç½Å
8607	»ç½Å
8608	±¸¹ÌÈ£
8609	±¸¹ÌÈ£
8610	´©··Åõ¹ü±Í
8611	´©··Åõ¹ü±Í
8612	¿©¿Õ°Å¹Ì
8613	MMOTutkunlarý
8614	Whistle
8615	Whistle
8616	Billy Loomis
9001	Silah Satýcýsý
9002	Zýrh Satýcýsý
9003	Satýcý
9004	Olay Yardýmcýsý
9005	Depocu
9006	Yaþlý Kadýn
9007	Silah Satýcýsý
9008	Zýrh Satýcýsý
9009	Balýkçý
9010	Genel Depocu Helen
9011	Evlenme Tasarýmcýsý
9012	Iþýnlayýcý
10001	Jayang_Bölgesi 4002 8995
10002	YounganBölgesi 4503 9050
10003	BokjungBölgesi 1118 2161
10004	Joan_Bölgesi 876 2131
10005	Bakra_Bölgesi 9064 2214
10006	Pyungmo_Bölges 9372 2188
10007	YounganBölgesi 4188 9560
10008	Jayang_Bölgesi 3179 8332
10009	Joan_Bölgesi 897 1127
10010	Bokjun_Bölgesi 1759 2210
10011	Pyungmo_Bölges 9343 3143
10012	Bakra_Bölgesi 8348 2926
10013	Hwang_Tapýnaðý 5536 1441
10014	Seungryong 3326 7468
10015	Yongbi_Çölü 3467 6329
10016	Kuahklo_Dong 600 4960
10017	Hwang_Tapýnaðý 5906 1102
10018	Gunsam_Kulesi 2165 7270
10019	Jayang_Bölgesi 3211 9009
10020	Jungrang 1356 43
10021	Bokjun_Bölgesi 1168 2920
10022	Waryong 2219 93
10023	Bakra_Bölgesi 9098 2948
10024	Imha 2718 130
10025	Sohan_Daðý 4993 2984
10026	Lungsam 2887 57
10027	Lungsam 2866 437
10028	Kýzýl_Orman 11199 708
10029	Yýlan_Vadisi 10590 7262
10030	Yongbi_Çölü 3519 6223
10031	Yýlan_Vadisi 10590 7262
10032	Devler_Diyarý 8283 7635
10033	Zin-Grotto 10594 7525
10034	2_Zin-Grotto 10594 7525
10035	Deon-Zeon 917 5253
10036	2_Deon-Zeon 7041 4642
10037	ÀÚ¾çÇö 3809 8233
10038	½Å¼ö¼º 9752 1330
10039	º¹Á¤Çö 1917 2900
10040	Áø³ë¼º 9239 1836
10041	¹Ú¶óÇö 8316 2154
10042	ÃµÁ¶¼º 9772 1850
10043	¼­ÇÑ»ê 3819 2969
10044	½Å¼ö¼º 10189 1484
10045	¼­ÇÑ»ê 3819 2969
10046	½Å¼ö¼º 9774 1501
10047	½Â·æ°î 2699 6752
10048	Áø³ë¼º 9679 1994
10049	½Â·æ°î 2699 6752
10050	Áø³ë¼º 9256 2012
10051	¿µºñ»ç¸· 3478 6189
10052	ÃµÁ¶¼º 9780 1995
10053	¿µºñ»ç¸· 3478 6189
10054	ÃµÁ¶¼º 10190 2002
10055	µµ¿°È­Áö 6011 6874
10056	¼­ÇÑ»ê 4368 2158
10057	½Â·æ°î 3355 7558
10058	¹Ð±³»ç¿ø 5943 1337
10059	¼­ÇÑ»ê 0 10496
10060	¹Ð±³»ç¿ø 1536 10496
10061	Ateþ Diyarý
10062	½Â·æ°î 6144 10496
10063	±Í¸ñ¸² 3031 266
10064	Àû±Í¸ñ¸² 11133 534
10065	½Å±Í¸ñ¸² 7754 10553
10066	½ÅÀû±Í¸ñ¸² 9915 11195
10067	MaymunZindaný 7752 4477
10068	Jayang_Bölgesi 4062 8756
10069	MaymunZindaný 8520 4477
10070	BokjungBölgesi 1611 2130
10071	MaymunZindaný 9288 4477
10072	Bakra_Bölgesi 8727 2100
10073	Yongbi_Çölü 3061 6202
10074	MaymunZindaný 1352 6532
10075	Yongbi_Çölü 2879 5407
10076	MaymunZindaný 1352 7300
10077	Zin-Grotto 9 12078
10078	½Â·æ°î 2842 8106
10079	Grotte1 1459 13236
10080	Grotte2 2413 12755
10081	ÃµÀÇµ¿±¼1Ãþ 99 13618
10082	¿µ¾ÈÀ¾¼º 5028 9998
10083	ÃµÀÇµ¿±¼1Ãþ 1360 14972
10084	Whistle_Kapý 2414 14289
10085	ÃµÀÇµ¿±¼1Ãþ 99 15154
10086	Á¶¾ÈÀ¾¼º 616 1148
10087	ÃµÀÇµ¿±¼1Ãþ 1360 16508
10088	Whistle_Kapý 2414 15825
10089	ÃµÀÇµ¿±¼1Ãþ 99 16690
10090	Æò¹«À¾¼º 9609 3188
10091	ÃµÀÇµ¿±¼1Ãþ 1360 18044
10092	Whistle_Kapý 2414 17361
10093	Ejder_Kapýsý 1731 12205
10094	Ejder_Kapýsý 1733 13743
10095	Ejder_Kapýsý 1728 15277
10096	Ejder_Kapýsý 1724 16824
10097	ÖZ2 7040 5235
10098	ÖZ3 984 5711
10099	Burnu 11043 17885
10100	Burnu 10963 16744
10101	Nefrit 10869 16558
10102	Burnu 11664 16779
10103	Yýldýrým 11345 16546
10104	Yýldýrým 11921 16550
10105	Gautama 12263 16811
10501	. 345 361
10502	. 106 547
10503	. 75 368
10504	. 89 746
10505	. 520 352
10506	. 541 45
10507	. 211 109
10508	. 615 49
10509	. 284 705
10510	. 145 310
10511	. 553 285
10512	. 487 274
10513	. 626 291
10514	. 285 569
10515	. 80 303
10516	. 315 238
10517	. 416 272
10518	. 72 498
10519	. 215 495
10520	. 523 415
10521	. 72 498
10522	. 518 480
10523	. 583 379
10524	. 459 558
10601	. 345 361
10602	. 520 352
10603	. 487 274
10604	. 75 368
10605	. 211 109
10606	. 215 495
10607	. 315 238
10608	. 520 352
10609	. 284 705
10610	. 145 310
10611	. 416 272
10612	. 80 303
10613	. 72 498
10614	. 106 547
10615	. 523 415
10616	. 541 45
10617	. 72 121
10618	. 518 480
10619	. 89 746
10620	. 285 569
10621	. 615 49
10622	. 72 498
10623	. 583 379
10624	. 459 558
10625	. 609 553
10626	. 594 338
10701	. 75 368
10702	. 541 45
10703	. 615 49
10704	. 284 705
10705	. 520 352
10706	. 553 285
10707	. 145 310
10708	. 345 361
10709	. 523 415
10710	. 72 498
10711	. 626 291
10712	. 487 274
10713	. 72 498
10714	. 106 547
10715	. 518 480
10716	. 285 569
10717	. 80 303
10718	. 211 109
10719	. 416 272
10720	. 215 495
10721	. 315 238
